from,via,to,hour,minute,day_of_week
六間坂上,ゆりの木通り,浜松駅,6,12 26 28 31 37 43 46 52 56(学),月～金
六間坂上,ゆりの木通り,浜松駅,7,03 07 09 11 14(学海) 17(伝) 25 27 36 43(学) 44 45 56 57,月～金
六間坂上,ゆりの木通り,浜松駅,8,02 08 18 22(学) 23 32 43 44 57,月～金
六間坂上,ゆりの木通り,浜松駅,9,07 11 19 31 34 51,月～金
六間坂上,ゆりの木通り,浜松駅,10,01 03 11 19 31 39 51,月～金
六間坂上,ゆりの木通り,浜松駅,11,01 11 19 31 39 51,月～金
六間坂上,ゆりの木通り,浜松駅,12,00 11 19 31 39 51,月～金
六間坂上,ゆりの木通り,浜松駅,13,00 11 19 31 39 51,月～金
六間坂上,ゆりの木通り,浜松駅,14,00 11 19 29 31 39 51,月～金
六間坂上,ゆりの木通り,浜松駅,15,11 21 29 31 44 52,月～金
六間坂上,ゆりの木通り,浜松駅,16,01 17 18 29 31 40 41 51,月～金
六間坂上,ゆりの木通り,浜松駅,17,00 04 14 39 41 43,月～金
六間坂上,ゆりの木通り,浜松駅,18,05 08 18 34 53,月～金
六間坂上,ゆりの木通り,浜松駅,19,07 09 19 35 45 47,月～金
六間坂上,ゆりの木通り,浜松駅,20,10 13 35,月～金
六間坂上,ゆりの木通り,浜松駅,21,22 25,月～金
六間坂上,ゆりの木通り,浜松駅,22,0,月～金
六間坂上,常盤町,浜松駅,6,21(下) 44(下),月～金
六間坂上,常盤町,浜松駅,7,11(浜) 39(浜) 53(浜),月～金
六間坂上,常盤町,浜松駅,8,07(下) 35(下) 54(下),月～金
六間坂上,常盤町,浜松駅,9,09(浜) 31(下),月～金
六間坂上,常盤町,浜松駅,10,01(下) 31(下),月～金
六間坂上,常盤町,浜松駅,11,01(下) 31(下) 59(下),月～金
六間坂上,常盤町,浜松駅,12,30(下) 59(下),月～金
六間坂上,常盤町,浜松駅,13,29(下) 59(下),月～金
六間坂上,常盤町,浜松駅,14,29(下),月～金
六間坂上,常盤町,浜松駅,15,01(下) 31(下),月～金
六間坂上,常盤町,浜松駅,16,03(下) 33(下),月～金
六間坂上,常盤町,浜松駅,17,03(下) 33(下),月～金
六間坂上,常盤町,浜松駅,18,03(浜) 33(下),月～金
六間坂上,常盤町,浜松駅,19,00(浜) 37(下),月～金
六間坂上,常盤町,浜松駅,20,22(浜),月～金
六間坂上,常盤町,浜松駅,21,19(下),月～金
六間坂上,ゆりの木通り,浜松駅,6,19 31 42 59,土日祝日
六間坂上,ゆりの木通り,浜松駅,7,10 23 26 39 43 59,土日祝日
六間坂上,ゆりの木通り,浜松駅,8,02 15 19 24 31 35 41 50,土日祝日
六間坂上,ゆりの木通り,浜松駅,9,00 03 08 31 35 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,10,01 04 12 21 32 41 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,11,01 12 21 32 41 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,12,01 12 21 32 41 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,13,01 12 21 32 41 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,14,01 12 21 32 41 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,15,03 12 23 32 43 52,土日祝日
六間坂上,ゆりの木通り,浜松駅,16,10 11 27 33 37 43 45 55,土日祝日
六間坂上,ゆりの木通り,浜松駅,17,08 18 26 34 40,土日祝日
六間坂上,ゆりの木通り,浜松駅,18,01 03 14 17 39 40 51,土日祝日
六間坂上,ゆりの木通り,浜松駅,19,11 14 48,土日祝日
六間坂上,ゆりの木通り,浜松駅,20,10 34 37,土日祝日
六間坂上,ゆりの木通り,浜松駅,21,11 31 58,土日祝日
六間坂上,常盤町,浜松駅,6,49(下),土日祝日
六間坂上,常盤町,浜松駅,7,27(浜) 56(下),土日祝日
六間坂上,常盤町,浜松駅,8,27(浜) 46(下),土日祝日
六間坂上,常盤町,浜松駅,9,07(浜) 30(下),土日祝日
