name,period,classroom,term,day_of_week,grade,cource
アルゴリズムとデータ構造Ⅰ-CS,4・5コマ,情11,前期,火曜,2年,CS
アルゴリズムとデータ構造Ⅰ-IS,4コマ,情13,前期,火曜,2年,IS
英語演習Ⅰ(池津),4コマ,情23,前期,火曜,1年,中上級
英語演習Ⅰ(梅田),4コマ,総23,前期,火曜,1年,初中級
英語演習Ⅰ(辻),4コマ,1-33,前期,火曜,1年,初中級
英語演習Ⅰ(堀内),4コマ,1-32,前期,火曜,1年,中上級
英語コミュニケーションⅠ(ウィルキンソン),4コマ,情25,前期,火曜,1年,上級
英語コミュニケーションⅠ(コルテス),4コマ,総33,前期,火曜,1年,上級
英語コミュニケーションⅠ(藤森),4コマ,6-11,前期,火曜,1年,初級
英語コミュニケーションⅠ(マイケル),4コマ,5-22,前期,火曜,1年,上級
英語コミュニケーションⅠ(松家),4コマ,総32,前期,火曜,1年,初級
ジェンダー論,5コマ,情22,前期,火曜,2年,ID
ソフトウェア設計技術,1コマ,情26,前期,火曜,院,CS
データ処理プログラミング,5コマ,情13,前期,火曜,2年,IS
ネットワークプログラミング,2コマ,情14,前期,火曜,3年,CS
パブリック・ガバナンス論,4コマ,情14,前期,火曜,2年,ID
ビジネス計画演習,3・4コマ,情21,前期,火曜,3年,IS
メディアデザイン論,2コマ,情24,前期,火曜,3年,ID
教育情報システム,4コマ,DR,前期,火曜,院,IS
言語コミュニケーション論,3コマ,情22,前期,火曜,2年,ID
初修外国語入門Ⅱ現代韓国語,3コマ,DR,前期,火曜,1年,
初修外国語入門Ⅱスペイン語,3コマ,1-33,前期,火曜,1年,
初修外国語入門Ⅱ中国語(ジャイ),3コマ,総32,前期,火曜,1年,情2
初修外国語入門Ⅱドイツ語(小柴),3コマ,総33,前期,火曜,1年,情2
初修外国語入門Ⅱドイツ語(高岡),3コマ,総23,前期,火曜,1年,情1
初修外国語入門Ⅱフランス語,3コマ,情25,前期,火曜,1年,
初修外国語入門Ⅱポルトガル語,3コマ,5-22,前期,火曜,1年,
初修外国語入門Ⅱ中国語(許山),3コマ,情23,前期,火曜,1年,情1
情報システム設計論,5コマ,情14,前期,火曜,院,IS
情報理論,1コマ,情21,前期,火曜,2年,CS
新入生セミナー(岡田安),2コマ,情26,前期,火曜,1年,
新入生セミナー(岩崎),2コマ,J2706,前期,火曜,1年,
新入生セミナー(笹原),2コマ,情23,前期,火曜,1年,
新入生セミナー(厨子),2コマ,J2802,前期,火曜,1年,
新入生セミナー(杉山岳),2コマ,情25,前期,火曜,1年,
新入生セミナー(杉山茂),2コマ,DR,前期,火曜,1年,
新入生セミナー(西垣),2コマ,J1404,前期,火曜,1年,
新入生セミナー(大島純・大島律),2コマ,情27,前期,火曜,1年,
新入生セミナー(竹林),2コマ,J2330,前期,火曜,1年,
新入生セミナー(溪村),2コマ,J2702,前期,火曜,1年,
多変量データ解析,3コマ,情13,前期,火曜,2年,情科
都市・地域政策演習,5コマ,情24,前期,火曜,3年,ID
都市・地域政策論,4コマ,情24,前期,火曜,3年,ID
日本語表現法,5コマ,情21,前期,火曜,1年,情科
博物館資料論,1コマ,情22,前期,火曜,1・2年,学芸
ことばと表現,2コマ,8-11,前期,火曜,2年,人文
日本国憲法,2コマ,5-21,前期,火曜,2年,人文
経済と社会,2コマ,情21,前期,火曜,2年,人文
現代の社会,2コマ,5-24,前期,火曜,2年,人文
心理学,2コマ,総24,前期,火曜,2年,人文
芸術論,2コマ,情11,前期,火曜,2年,人文
数理の構造,2コマ,8-21,前期,火曜,2年,自然
科学と技術,2コマ,3-31,前期,火曜,2年,自然
経済と社会,1コマ,情11,前期,火曜,3年,人文
現代の社会,1コマ,3-31,前期,火曜,3年,人文
芸術論,1コマ,8-11,前期,火曜,3年,人文
化学の世界,1コマ,総21,前期,火曜,3年,自然
生命科学,1コマ,8-21,前期,火曜,3年,自然
地球科学,1コマ,総34,前期,火曜,3年,自然
English Thesis Writing,4コマ,情21,前期,金曜,院,
